fdr,tpr,fpr,shd,pred_size,n,p,d,degree,noise_type,mlp,runtime,model_name
0.43478260869565205,0.7222222222222221,0.37037037037037,14,23,50,1,5,2,EV,True,0.315136909484863,DYNOTEARS
0.409090909090909,0.565217391304347,0.409090909090909,17,22,50,1,5,2,EV,True,0.35729908943176203,DYNOTEARS
0.45,0.611111111111111,0.33333333333333304,14,20,50,1,5,2,EV,True,0.353013038635253,DYNOTEARS
0.421052631578947,0.55,0.32,15,19,50,1,5,2,EV,True,0.18312907218933103,DYNOTEARS
0.210526315789473,0.5769230769230761,0.210526315789473,14,19,50,1,5,2,EV,True,0.35988998413085904,DYNOTEARS
0.44444444444444403,0.555555555555555,0.296296296296296,16,18,50,1,5,2,EV,True,0.27145409584045405,DYNOTEARS
0.55,0.5625,0.379310344827586,16,20,50,1,5,2,EV,True,0.32862901687622004,DYNOTEARS
0.416666666666666,0.7000000000000001,0.4,15,24,50,1,5,2,EV,True,0.25140309333801203,DYNOTEARS
0.23809523809523803,0.8888888888888881,0.185185185185185,6,21,50,1,5,2,EV,True,0.20030283927917403,DYNOTEARS
0.318181818181818,0.8823529411764701,0.25,9,22,50,1,5,2,EV,True,0.299522876739501,DYNOTEARS
0.28571428571428503,0.9375,0.206896551724137,7,21,500,1,5,2,EV,True,0.337921142578125,DYNOTEARS
0.583333333333333,0.7142857142857141,0.45161290322580605,18,24,500,1,5,2,EV,True,0.29681873321533203,DYNOTEARS
0.5,0.75,0.27272727272727204,12,18,500,1,5,2,EV,True,0.41868376731872503,DYNOTEARS
0.461538461538461,0.9333333333333331,0.4,13,26,500,1,5,2,EV,True,0.526521205902099,DYNOTEARS
0.35294117647058804,0.846153846153846,0.1875,8,17,500,1,5,2,EV,True,0.29864382743835405,DYNOTEARS
0.421052631578947,0.647058823529411,0.28571428571428503,13,19,500,1,5,2,EV,True,0.402420997619628,DYNOTEARS
0.35000000000000003,0.684210526315789,0.269230769230769,13,20,500,1,5,2,EV,True,0.437792062759399,DYNOTEARS
0.38095238095238004,0.928571428571428,0.25806451612903203,9,21,500,1,5,2,EV,True,0.357661247253417,DYNOTEARS
0.45,0.846153846153846,0.28125,11,20,500,1,5,2,EV,True,0.30979681015014604,DYNOTEARS
0.33333333333333304,0.875,0.241379310344827,9,21,500,1,5,2,EV,True,0.35017704963684004,DYNOTEARS
0.5238095238095231,0.5263157894736841,0.423076923076923,18,21,50,1,5,4,EV,True,0.22218418121337802,DYNOTEARS
0.22727272727272702,0.708333333333333,0.23809523809523803,11,22,50,1,5,4,EV,True,0.289820909500122,DYNOTEARS
0.39130434782608703,0.777777777777777,0.33333333333333304,13,23,50,1,5,4,EV,True,0.24867391586303703,DYNOTEARS
0.1,0.6923076923076921,0.105263157894736,10,20,50,1,5,4,EV,True,0.324526071548461,DYNOTEARS
0.5,0.47619047619047605,0.416666666666666,17,20,50,1,5,4,EV,True,0.292805910110473,DYNOTEARS
0.18181818181818102,0.9473684210526311,0.15384615384615302,5,22,50,1,5,4,EV,True,0.261590719223022,DYNOTEARS
0.47619047619047605,0.45833333333333304,0.47619047619047605,20,21,50,1,5,4,EV,True,0.27792692184448203,DYNOTEARS
0.33333333333333304,0.6666666666666661,0.291666666666666,14,21,50,1,5,4,EV,True,0.39072418212890603,DYNOTEARS
0.6000000000000001,0.4,0.48,22,20,50,1,5,4,EV,True,0.314010143280029,DYNOTEARS
0.36666666666666603,0.826086956521739,0.5,13,30,50,1,5,4,EV,True,0.30428028106689403,DYNOTEARS
0.5,0.6000000000000001,0.48,18,24,500,1,5,4,EV,True,0.379096031188964,DYNOTEARS
0.22727272727272702,0.7391304347826081,0.22727272727272702,11,22,500,1,5,4,EV,True,0.40488505363464306,DYNOTEARS
0.25,0.8823529411764701,0.17857142857142802,7,20,500,1,5,4,EV,True,0.415005207061767,DYNOTEARS
0.5263157894736841,0.75,0.30303030303030304,12,19,500,1,5,4,EV,True,0.31379294395446705,DYNOTEARS
0.409090909090909,0.684210526315789,0.34615384615384603,13,22,500,1,5,4,EV,True,0.42861700057983404,DYNOTEARS
0.4,0.7894736842105261,0.384615384615384,13,25,500,1,5,4,EV,True,0.43697619438171303,DYNOTEARS
0.36363636363636304,0.9333333333333331,0.266666666666666,9,22,500,1,5,4,EV,True,0.459853649139404,DYNOTEARS
0.36842105263157804,0.6666666666666661,0.259259259259259,13,19,500,1,5,4,EV,True,0.63336968421936,DYNOTEARS
0.33333333333333304,0.7272727272727271,0.347826086956521,10,24,500,1,5,4,EV,True,0.610909223556518,DYNOTEARS
0.5714285714285711,0.6923076923076921,0.375,15,21,500,1,5,4,EV,True,0.501216888427734,DYNOTEARS
0.47222222222222204,0.43181818181818105,0.11643835616438301,40,36,50,1,10,2,EV,True,3.049339056015014,DYNOTEARS
0.5,0.31578947368421,0.135338345864661,55,36,50,1,10,2,EV,True,2.612169981002807,DYNOTEARS
0.291666666666666,0.45945945945945904,0.045751633986928004,25,24,50,1,10,2,EV,True,2.672574996948242,DYNOTEARS
0.47222222222222204,0.35849056603773505,0.12408759124087501,50,36,50,1,10,2,EV,True,2.047748804092407,DYNOTEARS
0.21428571428571402,0.478260869565217,0.041666666666666005,30,28,50,1,10,2,EV,True,1.614830017089843,DYNOTEARS
0.54054054054054,0.34,0.14285714285714202,51,37,50,1,10,2,EV,True,1.876613855361938,DYNOTEARS
0.36363636363636304,0.403846153846153,0.08695652173913,40,33,50,1,10,2,EV,True,1.777118921279907,DYNOTEARS
